date,M1,M2,M3
2021-07-01,"550,824.90","2,100,134.80","2,106,362.10"
2021-08-01,"551,831.50","2,098,884.00","2,104,909.80"
2021-09-01,"562,955.70","2,127,285.00","2,133,618.90"
2021-10-01,"559,928.60","2,122,374.50","2,130,024.10"
2021-11-01,"580,847.40","2,154,570.20","2,162,302.20"
2021-12-01,"578,301.90","2,165,807.00","2,171,798.70"
2022-01-01,"585,517.60","2,171,245.80","2,178,879.60"
2022-02-01,"587,656.50","2,190,249.30","2,197,890.60"
2022-03-01,"592,214.40","2,196,197.20","2,203,024.20"
2022-04-01,"603,922.90","2,209,303.40","2,214,987.70"
2022-05-01,"603,888.10","2,218,313.90","2,226,588.40"
2022-06-01,"606,889.10","2,217,856.70","2,225,258.60"
2022-07-01,"602,156.90","2,214,012.10","2,222,146.50"
2022-08-01,"602,482.50","2,232,643.40","2,241,310.60"
2022-09-01,"596,710.80","2,247,122.00","2,254,815.70"
2022-10-01,"597,499.60","2,248,503.50","2,257,146.30"
2022-11-01,"603,199.70","2,249,186.20","2,257,943.90"
2022-12-01,"602,972.10","2,258,295.00","2,265,666.80"
